# SMF observations as plotted in SAGE26 Paper I, Figure 12.
# Generated by build_paper_observations.py -- do not hand-edit.
label z log_mass log_phi err_lo err_hi
Thorne+21 2.4000 11.23157 -3.97330 0.10646 0.08543
Thorne+21 2.4000 11.25666 -3.95482 0.10146 0.08219
Thorne+21 2.4000 11.28175 -4.18890 0.14613 0.10914
Thorne+21 2.4000 11.30684 -4.29364 0.13830 0.10474
Thorne+21 2.4000 11.33193 -4.33503 0.15490 0.11394
Thorne+21 2.4000 11.35702 -4.29364 0.13830 0.10474
Thorne+21 2.4000 11.38211 -4.38079 0.17609 0.12494
Thorne+21 2.4000 11.40720 -4.43194 0.20412 0.13830
Thorne+21 2.4000 11.43229 -4.55688 0.17609 0.12494
Thorne+21 2.4000 11.45739 -4.38079 0.17609 0.12494
Thorne+21 2.4000 11.48248 -4.33503 0.15490 0.11394
Thorne+21 2.4000 11.50757 -4.85791 0.47712 0.22185
Thorne+21 2.4000 11.53266 -4.63606 0.22185 0.14613
Thorne+21 2.4000 11.55775 -4.73297 0.30103 0.17609
Thorne+21 2.4000 11.58284 -4.63606 0.22185 0.14613
Thorne+21 2.4000 11.60793 -4.85791 0.47712 0.22185
Thorne+21 2.4000 11.68320 -5.03400 0.30103 0.17609
Thorne+21 2.4000 11.70829 -5.33503 1.30103 0.30103
Thorne+21 2.4000 11.75847 -5.33503 1.30103 0.30103
Thorne+21 2.4000 11.78356 -5.03400 0.30103 0.17609
Thorne+21 2.4000 11.83374 -5.03400 0.30103 0.17609
Thorne+21 2.4000 11.85883 -5.33503 1.30103 0.30103
Thorne+21 3.0000 10.21535 -3.20872 0.02958 0.02601
Thorne+21 3.0000 10.24384 -3.08513 0.02490 0.02355
Thorne+21 3.0000 10.27233 -3.18949 0.02826 0.02653
Thorne+21 3.0000 10.30083 -3.19121 0.02837 0.02663
Thorne+21 3.0000 10.32932 -3.19813 0.02884 0.02705
Thorne+21 3.0000 10.35781 -3.32249 0.03380 0.03135
Thorne+21 3.0000 10.38630 -3.22884 0.02903 0.02721
Thorne+21 3.0000 10.41480 -3.30653 0.03253 0.03026
Thorne+21 3.0000 10.44329 -3.29766 0.03185 0.02967
Thorne+21 3.0000 10.47178 -3.33188 0.03200 0.02980
Thorne+21 3.0000 10.50028 -3.34391 0.03294 0.03061
Thorne+21 3.0000 10.52877 -3.37161 0.03520 0.03256
Thorne+21 3.0000 10.55726 -3.44511 0.03863 0.03547
Thorne+21 3.0000 10.58575 -3.47375 0.03779 0.03476
Thorne+21 3.0000 10.61425 -3.51515 0.04175 0.03809
Thorne+21 3.0000 10.64274 -3.57314 0.04347 0.03951
Thorne+21 3.0000 10.67123 -3.60310 0.04674 0.04220
Thorne+21 3.0000 10.69973 -3.60756 0.04725 0.04261
Thorne+21 3.0000 10.72822 -3.65983 0.04801 0.04323
Thorne+21 3.0000 10.75671 -3.71927 0.05552 0.04922
Thorne+21 3.0000 10.78520 -3.73700 0.05115 0.04576
Thorne+21 3.0000 10.81370 -3.73700 0.05115 0.04576
Thorne+21 3.0000 10.84219 -3.83090 0.06446 0.05612
Thorne+21 3.0000 10.87068 -3.80194 0.06000 0.05271
Thorne+21 3.0000 10.89918 -3.99227 0.07058 0.06070
Thorne+21 3.0000 10.92767 -3.90413 0.06695 0.05799
Thorne+21 3.0000 10.95616 -3.98154 0.06872 0.05931
Thorne+21 3.0000 10.98466 -4.02613 0.07684 0.06527
Thorne+21 3.0000 11.01315 -4.07581 0.08715 0.07255
Thorne+21 3.0000 11.04164 -4.11721 0.07918 0.06695
Thorne+21 3.0000 11.07013 -4.27211 0.11810 0.09275
Thorne+21 3.0000 11.09863 -4.23260 0.10646 0.08543
Thorne+21 3.0000 11.12712 -4.41824 0.13470 0.10266
Thorne+21 3.0000 11.15561 -4.33906 0.10914 0.08715
Thorne+21 3.0000 11.18411 -4.55294 0.13830 0.10474
Thorne+21 3.0000 11.21260 -4.36388 0.11651 0.09177
Thorne+21 3.0000 11.24109 -4.64009 0.17609 0.12494
Thorne+21 3.0000 11.26958 -4.41824 0.13470 0.10266
Thorne+21 3.0000 11.29808 -4.55294 0.13830 0.10474
Thorne+21 3.0000 11.32657 -4.69124 0.20412 0.13830
Thorne+21 3.0000 11.35506 -4.81618 0.17609 0.12494
Thorne+21 3.0000 11.38356 -4.33906 0.10914 0.08715
Thorne+21 3.0000 11.41205 -4.89536 0.22185 0.14613
Thorne+21 3.0000 11.44054 -4.81618 0.17609 0.12494
Thorne+21 3.0000 11.46903 -4.89536 0.22185 0.14613
Thorne+21 3.0000 11.49753 -4.99227 0.30103 0.17609
Thorne+21 3.0000 11.52602 -4.74923 0.24304 0.15490
Thorne+21 3.0000 11.55451 -5.59433 1.30103 0.30103
Thorne+21 3.0000 11.58301 -4.99227 0.30103 0.17609
Thorne+21 3.0000 11.61150 -5.11721 0.47712 0.22185
Thorne+21 3.0000 11.63999 -5.59433 1.30103 0.30103
Thorne+21 3.0000 11.66849 -5.11721 0.47712 0.22185
Thorne+21 3.0000 11.69698 -5.59433 1.30103 0.30103
Thorne+21 3.0000 11.72547 -5.29330 0.30103 0.17609
Thorne+21 3.0000 11.78246 -5.59433 1.30103 0.30103
Thorne+21 3.0000 11.83944 -5.59433 1.30103 0.30103
Thorne+21 3.0000 11.89643 -5.29330 0.30103 0.17609
Thorne+21 3.0000 12.03889 -5.59433 1.30103 0.30103
Thorne+21 3.5000 10.29726 -3.58857 0.03779 0.03476
Thorne+21 3.5000 10.35213 -3.41047 0.03111 0.02903
Thorne+21 3.5000 10.40701 -3.48925 0.03237 0.03012
Thorne+21 3.5000 10.46189 -3.50389 0.03352 0.03112
Thorne+21 3.5000 10.51677 -3.65002 0.04001 0.03663
Thorne+21 3.5000 10.57165 -3.65002 0.04001 0.03663
Thorne+21 3.5000 10.62653 -3.80741 0.04742 0.04275
Thorne+21 3.5000 10.68141 -3.86612 0.05474 0.04861
Thorne+21 3.5000 10.73629 -4.08417 0.07169 0.06152
Thorne+21 3.5000 10.79116 -4.07483 0.07004 0.06030
Thorne+21 3.5000 10.84604 -4.22842 0.08715 0.07255
Thorne+21 3.5000 10.90092 -4.46818 0.10266 0.08297
Thorne+21 3.5000 10.95580 -4.49166 0.10914 0.08715
Thorne+21 3.5000 11.01068 -4.46818 0.10266 0.08297
Thorne+21 3.5000 11.06556 -4.63299 0.15970 0.11651
Thorne+21 3.5000 11.12044 -4.74693 0.15490 0.11394
Thorne+21 3.5000 11.17532 -4.79269 0.17609 0.12494
Thorne+21 3.5000 11.23019 -4.84384 0.20412 0.13830
Thorne+21 3.5000 11.28507 -5.04796 0.22185 0.14613
Thorne+21 3.5000 11.33995 -5.74693 1.30103 0.30103
Thorne+21 3.5000 11.39483 -5.44590 0.30103 0.17609
Thorne+21 3.5000 11.44971 -5.74693 1.30103 0.30103
Thorne+21 3.5000 11.55947 -5.74693 1.30103 0.30103
Thorne+21 3.5000 11.61434 -5.14487 0.30103 0.17609
Thorne+21 3.5000 11.72410 -5.74693 1.30103 0.30103
Thorne+21 3.5000 11.83386 -5.74693 1.30103 0.30103
Thorne+21 3.5000 11.94362 -5.74693 1.30103 0.30103
Thorne+21 3.5000 12.27289 -5.74693 1.30103 0.30103
Thorne+21 4.0000 10.36235 -3.93626 0.04885 0.04391
Thorne+21 4.0000 10.44605 -3.94560 0.04997 0.04481
Thorne+21 4.0000 10.52974 -4.06429 0.05271 0.04700
Thorne+21 4.0000 10.61343 -4.16902 0.05912 0.05203
Thorne+21 4.0000 10.69713 -4.15351 0.06568 0.05704
Thorne+21 4.0000 10.78082 -4.44699 0.08219 0.06908
Thorne+21 4.0000 10.86452 -4.73330 0.13470 0.10266
Thorne+21 4.0000 10.94821 -4.60836 0.09691 0.07918
Thorne+21 4.0000 11.03190 -4.70527 0.12494 0.09691
Thorne+21 4.0000 11.11560 -4.90939 0.15490 0.11394
Thorne+21 4.0000 11.19929 -5.06429 0.24304 0.15490
Thorne+21 4.0000 11.28298 -5.13124 0.17609 0.12494
Thorne+21 4.0000 11.36668 -4.83021 0.12494 0.09691
Thorne+21 4.0000 11.45037 -5.13124 0.17609 0.12494
Thorne+21 4.0000 11.53406 -5.90939 1.30103 0.30103
Thorne+21 4.0000 11.61776 -5.90939 1.30103 0.30103
Thorne+21 4.0000 11.70145 -5.90939 1.30103 0.30103
Thorne+21 4.0000 11.86884 -5.90939 1.30103 0.30103
Thorne+21 4.0000 12.11992 -5.90939 1.30103 0.30103
Santini+12 0.8000 7.99481 -1.35530 0.15497 0.15364
Santini+12 0.8000 8.19481 -1.50365 0.07301 0.07274
